year,month,value,adjusted,sex,race,age,mari
2023,November,3.5,FALSE,Both,All,All,All
2023,October,3.6,FALSE,Both,All,All,All
2023,September,3.6,FALSE,Both,All,All,All
2023,August,3.9,FALSE,Both,All,All,All
2023,July,3.8,FALSE,Both,All,All,All
2023,June,3.8,FALSE,Both,All,All,All
2023,May,3.4,FALSE,Both,All,All,All
2023,April,3.1,FALSE,Both,All,All,All
2023,March,3.6,FALSE,Both,All,All,All
2023,February,3.9,FALSE,Both,All,All,All
2023,January,3.9,FALSE,Both,All,All,All
2022,December,3.3,FALSE,Both,All,All,All
2022,November,3.4,FALSE,Both,All,All,All
2022,October,3.4,FALSE,Both,All,All,All
2022,September,3.3,FALSE,Both,All,All,All
2022,August,3.8,FALSE,Both,All,All,All
2022,July,3.8,FALSE,Both,All,All,All
2022,June,3.8,FALSE,Both,All,All,All
2022,May,3.4,FALSE,Both,All,All,All
2022,April,3.3,FALSE,Both,All,All,All
2022,March,3.8,FALSE,Both,All,All,All
2022,February,4.1,FALSE,Both,All,All,All
2022,January,4.4,FALSE,Both,All,All,All
2021,December,3.7,FALSE,Both,All,All,All
2021,November,3.9,FALSE,Both,All,All,All
2021,October,4.3,FALSE,Both,All,All,All
2021,September,4.6,FALSE,Both,All,All,All
2021,August,5.3,FALSE,Both,All,All,All
2021,July,5.7,FALSE,Both,All,All,All
2021,June,6.1,FALSE,Both,All,All,All
2021,May,5.5,FALSE,Both,All,All,All
2021,April,5.7,FALSE,Both,All,All,All
2021,March,6.2,FALSE,Both,All,All,All
2021,February,6.6,FALSE,Both,All,All,All
2021,January,6.8,FALSE,Both,All,All,All
2020,December,6.5,FALSE,Both,All,All,All
2020,November,6.4,FALSE,Both,All,All,All
2020,October,6.6,FALSE,Both,All,All,All
2020,September,7.7,FALSE,Both,All,All,All
2020,August,8.5,FALSE,Both,All,All,All
2020,July,10.5,FALSE,Both,All,All,All
2020,June,11.2,FALSE,Both,All,All,All
2020,May,13.0,FALSE,Both,All,All,All
2020,April,14.4,FALSE,Both,All,All,All
2020,March,4.5,FALSE,Both,All,All,All
2020,February,3.8,FALSE,Both,All,All,All
2020,January,4.0,FALSE,Both,All,All,All
2023,November,3.8,FALSE,Men,All,All,All
2023,October,3.8,FALSE,Men,All,All,All
2023,September,3.8,FALSE,Men,All,All,All
2023,August,3.9,FALSE,Men,All,All,All
2023,July,3.6,FALSE,Men,All,All,All
2023,June,3.8,FALSE,Men,All,All,All
2023,May,3.5,FALSE,Men,All,All,All
2023,April,3.3,FALSE,Men,All,All,All
2023,March,4.0,FALSE,Men,All,All,All
2023,February,4.2,FALSE,Men,All,All,All
2023,January,4.2,FALSE,Men,All,All,All
2022,December,3.4,FALSE,Men,All,All,All
2022,November,3.4,FALSE,Men,All,All,All
2022,October,3.3,FALSE,Men,All,All,All
2022,September,3.2,FALSE,Men,All,All,All
2022,August,3.6,FALSE,Men,All,All,All
2022,July,3.5,FALSE,Men,All,All,All
2022,June,3.7,FALSE,Men,All,All,All
2022,May,3.4,FALSE,Men,All,All,All
2022,April,3.6,FALSE,Men,All,All,All
2022,March,4.0,FALSE,Men,All,All,All
2022,February,4.4,FALSE,Men,All,All,All
2022,January,4.8,FALSE,Men,All,All,All
2021,December,3.9,FALSE,Men,All,All,All
2021,November,3.9,FALSE,Men,All,All,All
2021,October,4.2,FALSE,Men,All,All,All
2021,September,4.6,FALSE,Men,All,All,All
2021,August,5.1,FALSE,Men,All,All,All
2021,July,5.5,FALSE,Men,All,All,All
2021,June,6.1,FALSE,Men,All,All,All
2021,May,5.7,FALSE,Men,All,All,All
2021,April,6.0,FALSE,Men,All,All,All
2021,March,6.5,FALSE,Men,All,All,All
2021,February,7.0,FALSE,Men,All,All,All
2021,January,7.1,FALSE,Men,All,All,All
2020,December,6.7,FALSE,Men,All,All,All
2020,November,6.6,FALSE,Men,All,All,All
2020,October,6.6,FALSE,Men,All,All,All
2020,September,7.3,FALSE,Men,All,All,All
2020,August,8.0,FALSE,Men,All,All,All
2020,July,9.7,FALSE,Men,All,All,All
2020,June,10.5,FALSE,Men,All,All,All
2020,May,11.9,FALSE,Men,All,All,All
2020,April,13.3,FALSE,Men,All,All,All
2020,March,4.8,FALSE,Men,All,All,All
2020,February,4.1,FALSE,Men,All,All,All
2020,January,4.2,FALSE,Men,All,All,All
2023,November,3.2,FALSE,Women,All,All,All
2023,October,3.5,FALSE,Women,All,All,All
2023,September,3.4,FALSE,Women,All,All,All
2023,August,4.0,FALSE,Women,All,All,All
2023,July,4.0,FALSE,Women,All,All,All
2023,June,3.8,FALSE,Women,All,All,All
2023,May,3.4,FALSE,Women,All,All,All
2023,April,2.9,FALSE,Women,All,All,All
2023,March,3.2,FALSE,Women,All,All,All
2023,February,3.5,FALSE,Women,All,All,All
2023,January,3.4,FALSE,Women,All,All,All
2022,December,3.1,FALSE,Women,All,All,All
2022,November,3.3,FALSE,Women,All,All,All
2022,October,3.5,FALSE,Women,All,All,All
2022,September,3.4,FALSE,Women,All,All,All
2022,August,4.0,FALSE,Women,All,All,All
2022,July,4.1,FALSE,Women,All,All,All
2022,June,4.0,FALSE,Women,All,All,All
2022,May,3.4,FALSE,Women,All,All,All
2022,April,3.1,FALSE,Women,All,All,All
2022,March,3.5,FALSE,Women,All,All,All
2022,February,3.9,FALSE,Women,All,All,All
2022,January,4.1,FALSE,Women,All,All,All
2021,December,3.5,FALSE,Women,All,All,All
2021,November,3.9,FALSE,Women,All,All,All
2021,October,4.4,FALSE,Women,All,All,All
2021,September,4.5,FALSE,Women,All,All,All
2021,August,5.5,FALSE,Women,All,All,All
2021,July,5.8,FALSE,Women,All,All,All
2021,June,6.1,FALSE,Women,All,All,All
2021,May,5.2,FALSE,Women,All,All,All
2021,April,5.4,FALSE,Women,All,All,All
2021,March,5.8,FALSE,Women,All,All,All
2021,February,6.1,FALSE,Women,All,All,All
2021,January,6.5,FALSE,Women,All,All,All
2020,December,6.3,FALSE,Women,All,All,All
2020,November,6.1,FALSE,Women,All,All,All
2020,October,6.5,FALSE,Women,All,All,All
2020,September,8.0,FALSE,Women,All,All,All
2020,August,9.1,FALSE,Women,All,All,All
2020,July,11.3,FALSE,Women,All,All,All
2020,June,12.0,FALSE,Women,All,All,All
2020,May,14.3,FALSE,Women,All,All,All
2020,April,15.7,FALSE,Women,All,All,All
2020,March,4.2,FALSE,Women,All,All,All
2020,February,3.4,FALSE,Women,All,All,All
2020,January,3.7,FALSE,Women,All,All,All
2023,November,3.0,FALSE,Both,White,All,All
2023,October,3.2,FALSE,Both,White,All,All
2023,September,3.3,FALSE,Both,White,All,All
2023,August,3.6,FALSE,Both,White,All,All
2023,July,3.3,FALSE,Both,White,All,All
2023,June,3.3,FALSE,Both,White,All,All
2023,May,3.0,FALSE,Both,White,All,All
2023,April,2.8,FALSE,Both,White,All,All
2023,March,3.4,FALSE,Both,White,All,All
2023,February,3.5,FALSE,Both,White,All,All
2023,January,3.5,FALSE,Both,White,All,All
2022,December,2.9,FALSE,Both,White,All,All
2022,November,3.0,FALSE,Both,White,All,All
2022,October,3.0,FALSE,Both,White,All,All
2022,September,2.9,FALSE,Both,White,All,All
2022,August,3.3,FALSE,Both,White,All,All
2022,July,3.3,FALSE,Both,White,All,All
2022,June,3.5,FALSE,Both,White,All,All
2022,May,3.0,FALSE,Both,White,All,All
2022,April,2.9,FALSE,Both,White,All,All
2022,March,3.3,FALSE,Both,White,All,All
2022,February,3.7,FALSE,Both,White,All,All
2022,January,3.9,FALSE,Both,White,All,All
2021,December,3.1,FALSE,Both,White,All,All
2021,November,3.4,FALSE,Both,White,All,All
2021,October,3.6,FALSE,Both,White,All,All
2021,September,4.0,FALSE,Both,White,All,All
2021,August,4.6,FALSE,Both,White,All,All
2021,July,5.0,FALSE,Both,White,All,All
2021,June,5.4,FALSE,Both,White,All,All
2021,May,4.8,FALSE,Both,White,All,All
2021,April,5.0,FALSE,Both,White,All,All
2021,March,5.5,FALSE,Both,White,All,All
2021,February,5.9,FALSE,Both,White,All,All
2021,January,6.2,FALSE,Both,White,All,All
2020,December,5.9,FALSE,Both,White,All,All
2020,November,5.7,FALSE,Both,White,All,All
2020,October,5.7,FALSE,Both,White,All,All
2020,September,6.8,FALSE,Both,White,All,All
2020,August,7.5,FALSE,Both,White,All,All
2020,July,9.4,FALSE,Both,White,All,All
2020,June,10.2,FALSE,Both,White,All,All
2020,May,12.1,FALSE,Both,White,All,All
2020,April,13.8,FALSE,Both,White,All,All
2020,March,4.1,FALSE,Both,White,All,All
2020,February,3.4,FALSE,Both,White,All,All
2020,January,3.5,FALSE,Both,White,All,All
2023,November,3.3,FALSE,Men,White,All,All
2023,October,3.4,FALSE,Men,White,All,All
2023,September,3.4,FALSE,Men,White,All,All
2023,August,3.5,FALSE,Men,White,All,All
2023,July,3.2,FALSE,Men,White,All,All
2023,June,3.4,FALSE,Men,White,All,All
2023,May,3.1,FALSE,Men,White,All,All
2023,April,2.9,FALSE,Men,White,All,All
2023,March,3.6,FALSE,Men,White,All,All
2023,February,3.9,FALSE,Men,White,All,All
2023,January,3.9,FALSE,Men,White,All,All
2022,December,3.1,FALSE,Men,White,All,All
2022,November,3.1,FALSE,Men,White,All,All
2022,October,2.9,FALSE,Men,White,All,All
2022,September,2.8,FALSE,Men,White,All,All
2022,August,3.1,FALSE,Men,White,All,All
2022,July,3.2,FALSE,Men,White,All,All
2022,June,3.4,FALSE,Men,White,All,All
2022,May,3.0,FALSE,Men,White,All,All
2022,April,3.1,FALSE,Men,White,All,All
2022,March,3.7,FALSE,Men,White,All,All
2022,February,3.9,FALSE,Men,White,All,All
2022,January,4.2,FALSE,Men,White,All,All
2021,December,3.3,FALSE,Men,White,All,All
2021,November,3.3,FALSE,Men,White,All,All
2021,October,3.4,FALSE,Men,White,All,All
2021,September,4.0,FALSE,Men,White,All,All
2021,August,4.4,FALSE,Men,White,All,All
2021,July,4.9,FALSE,Men,White,All,All
2021,June,5.3,FALSE,Men,White,All,All
2021,May,4.9,FALSE,Men,White,All,All
2021,April,5.3,FALSE,Men,White,All,All
2021,March,5.8,FALSE,Men,White,All,All
2021,February,6.4,FALSE,Men,White,All,All
2021,January,6.6,FALSE,Men,White,All,All
2020,December,6.2,FALSE,Men,White,All,All
2020,November,6.0,FALSE,Men,White,All,All
2020,October,5.8,FALSE,Men,White,All,All
2020,September,6.5,FALSE,Men,White,All,All
2020,August,7.0,FALSE,Men,White,All,All
2020,July,8.5,FALSE,Men,White,All,All
2020,June,9.3,FALSE,Men,White,All,All
2020,May,10.9,FALSE,Men,White,All,All
