year,month,state,value
2023,October,Alabama,2.4
2023,September,Alabama,2.4
2023,August,Alabama,2.4
2023,July,Alabama,2.3
2023,June,Alabama,2.7
2023,May,Alabama,2.1
2023,April,Alabama,1.7
2023,March,Alabama,1.9
2023,February,Alabama,2.4
2023,January,Alabama,2.6
2022,December,Alabama,2.2
2022,November,Alabama,2.2
2022,October,Alabama,2.5
2022,September,Alabama,2.5
2022,August,Alabama,2.9
2022,July,Alabama,3.0
2022,June,Alabama,3.2
2022,May,Alabama,2.2
2022,April,Alabama,2.0
2022,March,Alabama,2.5
2022,February,Alabama,2.9
2022,January,Alabama,3.1
2021,December,Alabama,2.3
2021,November,Alabama,2.4
2021,October,Alabama,2.7
2021,September,Alabama,2.9
2021,August,Alabama,3.5
2021,July,Alabama,3.7
2021,June,Alabama,4.1
2021,May,Alabama,3.2
2021,April,Alabama,3.2
2021,March,Alabama,3.7
2021,February,Alabama,4.2
2021,January,Alabama,4.5
2020,December,Alabama,4.3
2020,November,Alabama,4.5
2020,October,Alabama,4.9
2020,September,Alabama,5.9
2020,August,Alabama,6.4
2020,July,Alabama,8.0
2020,June,Alabama,9.0
2020,May,Alabama,10.2
2020,April,Alabama,13.1
2020,March,Alabama,3.7
2020,February,Alabama,3.4
2020,January,Alabama,3.6
2023,October,Alaska,4.1
2023,September,Alaska,4.0
2023,August,Alaska,3.7
2023,July,Alaska,3.8
2023,June,Alaska,4.3
2023,May,Alaska,3.7
2023,April,Alaska,3.8
2023,March,Alaska,4.0
2023,February,Alaska,4.5
2023,January,Alaska,4.4
2022,December,Alaska,3.6
2022,November,Alaska,3.7
2022,October,Alaska,3.3
2022,September,Alaska,3.0
2022,August,Alaska,2.9
2022,July,Alaska,3.4
2022,June,Alaska,4.1
2022,May,Alaska,3.9
2022,April,Alaska,4.3
2022,March,Alaska,4.8
2022,February,Alaska,5.4
2022,January,Alaska,5.9
2021,December,Alaska,5.3
2021,November,Alaska,5.4
2021,October,Alaska,5.3
2021,September,Alaska,5.2
2021,August,Alaska,5.3
2021,July,Alaska,6.0
2021,June,Alaska,7.0
2021,May,Alaska,6.9
2021,April,Alaska,7.6
2021,March,Alaska,7.7
2021,February,Alaska,7.7
2021,January,Alaska,7.5
2020,December,Alaska,7.3
2020,November,Alaska,7.3
2020,October,Alaska,6.8
2020,September,Alaska,7.1
2020,August,Alaska,6.4
2020,July,Alaska,10.6
2020,June,Alaska,11.4
